Campaign,Ad group,Ad status,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL suffix
S_All-States,Credit Card,Enabled,Responsive search ad,https://start.credolegal.com/credit-cards,Stop Credit Card Harassment,Credit Card Harassment Issues?,CC Debt Collector Harassment?,Fight CC Debt Harassment Now,Get Help Stop Debt Harassment,Fight Card Debt With FDCPA,Shut Down Card Harassment!,Fight Back! End The Abuse.,We Help Fight CC Collectors,We Help Stop Collector Calls,Hit Back at Debt Collectors!,Know Credit Card Debt Rights,"You Have Rights, Use Them!",Demand Your Rights Use the Law,"Demand Justice, Act Today!",Stop illegal credit card harassment. FDCPA attorneys fight for you. Get Free Consult!,Harassing calls end here. We help you silence bully card collectors for good. Act Now!,Abusive card collectors violating your rights? We're your legal warriors. Free Consult!,Sick of card collector bullying? We're your shield & sword. Free & Confidential Consult.,debt-collection,attorney,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_All-States,Debt Collector,Enabled,Responsive search ad,https://start.credolegal.com/collection-defense,Sued by a Collection Lawyer?,Sued by a Collection Attorney?,Harassed by Debt Collectors?,Collection Law Firm Suing You?,Debt Collectors at Your Door?,Talk to a Defense Attorney,Real Lawyers on Your Side,We Can Help You Fight Back,Real Attorneys. Real Results.,We Can Help With Debt Lawsuits,We Can Help Stop a Judgment,Request Help Before Court Date,Start Fighting Back Now,Know Your Rights Today,Get a Free Consultation,Facing a collection lawsuit? Our attorneys can help. Get a Free Consultation.,Fight debt collectors & protect your rights. Talk to an attorney. Get a Free Consultation.,Sued by a collection attorney? You still have options. Get a Free Consultation.,We can help dismiss or settle your debt collection lawsuit. Get a Free Consultation.,debt-collection,attorney,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_All-States,FDCPA,Enabled,Responsive search ad,https://start.credolegal.com/fcba-and-fdcpa,Know Your FDCPA Rights,Stop Abusive Debt Collectors,FDCPA Protection Explained,Harassed by Collectors?,What Does FDCPA Cover?,Your Debt Collection Rights,FDCPA Rules for Collectors,End Illegal Collection Calls,Understand FDCPA Protections,Fight Back With FDCPA Rights,FDCPA: Stop Harassing Calls,Are Collectors Breaking FDCPA?,Use FDCPA to Protect Yourself,FDCPA Help for Consumers NY,,"Learn how FDCPA limits collector calls, harassment, and deceptive tactics.",Discover what collectors can and cannot do under FDCPA guidelines.,Get a clear explanation of your debt collection rights under FDCPA.,See how to demand validation and respond to abusive collection behaviour.,FDCPA,Debt-Relief,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_All-States,Garnishment,Enabled,Responsive search ad,https://start.credolegal.com/stop-wage-garnishment,Fight Wage Garnishment Now,Paycheck Garnished? Call Us,Need a Wage Garnishment Lawyer,Need Debt Collector Attorney?,Need a Debt Lawsuit Lawyer?,Fight For Your Paycheck Today,We Can Help Fight Harassment,Talk to a Real Attorney Now,We Can Fight Wage Garnishment,Proven Lawyers Ready to Help,Get Help Before Court Action,Get Help to Pursue Your Rights,Understand Your Legal Rights,Fight Back Against Garnishment,Get a Free Consultation,Our lawyers help you fight wage garnishment. Know your rights. Get a Free Consultation.,Struggling with a garnished paycheck? Talk to our attorneys. Get a Free Consultation.,We can help you with wage garnishment defense. Get a Free Consultation.,Facing a wage garnishment notice? You still have options. Get a Free Consultation.,garnishment,attorney,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_All-States,Lien,Enabled,Responsive search ad,https://start.credolegal.com/remove-property-lien,Need Help with a Lien?,Lien on House or Property?,Remove Judgment Liens Now,Are You Harassed by Creditors?,Lien Lawyer Near You,Fight Creditor Liens Today,Lien Removal Attorney Help,Legal Help for Lien Issues,Take the Fight to Creditors!,Contact Lien Attorney Near You,Get Help to Fight Back Now,Let's Make a Plan Together,Get a Free Consultation,We're Seasoned Lien Lawyers,Get a Lien Attorney,"We help remove creditor liens from homes, paychecks and accounts. Get a Free Consultation.",Property lien stopping your refinance or sale? Talk to a lawyer today. Free Consultation.,Get help removing or negotiating property liens. Free and Confidential Consultation.,You may be able to remove or reduce a lien. Learn your rights today. Free Consultation.,lien,attorney,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_All-States,Medical,Enabled,Responsive search ad,https://start.credolegal.com/medical-debt-attorney,Struggling With Medical Bills?,Sued Over Hospital Debt?,Can’t Pay a Medical Bill?,A Medical Bill in Collections?,Need Help With Medical Debt?,We Help With Medical Debt,Legal Help for Hospital Bills,Get a Medical Debt Lawyer,You Deserve Your Health!,We Fight Aggressive Collectors,Talk to an Attorney Today,Get Help Before It Escalates,Get Help to Fight Back Now,Let's Make a Plan Together,Get a Free Consultation,Can’t pay a hospital bill? Talk to a medical debt attorney today. Get a Free Consultation.,Sued for medical bills? You have legal rights. Get a Free Consultation.,Legal help for medical debt collections. Fight harassment. Free Consultation.,We fight medical debt collectors & aim to reduce or remove what you owe. Free Consult.,medical-debt,attorney,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_CreditCard_NW,CC_Branded,Enabled,Responsive search ad,https://start.credolegal.com/credit-card-debt-stop-calls,{Keyword:Card Company Won't Stop?},We Send Cease Letter Today,Stop Credit Card Harassment,Calls About Credit Card Debt?,Calls Before 8AM? Illegal.,Threatening You? Violation.,FDCPA Covers Card Collectors,Real Attorneys From Day One,We Stop Card Collector Calls,Attorney Help Starts Today,Calling Your Job? Illegal.,Flexible Payment Plans,Free Confidential Consultation,Talk to an Attorney For Free,Get a Free Case Evaluation,Card debt collector won't stop calling? FDCPA protects you. We act fast. Free consult.,We send a cease letter the day you enroll. Real attorneys. Get Free Consultation.,Thousands have stopped credit card harassment with our help. Get Free Evaluation.,"Calling before 8AM, threatening arrest, contacting family. It's all illegal. Free Consult.",credit-card,debt-stop-calls,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_CreditCard_NW,CC_Lawsuit,Enabled,Responsive search ad,https://start.credolegal.com/credit-card-debt-lawsuit-respond,Sued for Credit Card Debt?,You Have Days to Respond,Credit Card Lawsuit? Act Now.,Don't Default. File An Answer.,No Response = You Lose.,Our Attorneys Respond Fast,Real Lawyers From Day One,We File Your Answer Fast,Card Company Has Lawyers,Now You Need an Attorney,Most People Don't Respond,Flexible Payment Plans,Call Now. Free Consultation.,Free Lawsuit Defense Consult,Get a Free Case Evaluation,Sued for credit card debt? Days to respond or you lose by default. Get Free Consult.,Real attorneys file your answer and protect you in court. Get a Free Consultation.,Most sued for credit card debt don't respond and lose. Our attorneys fight back. Call Now.,Credit card companies have legal teams. Now you can too. Flexible plans. Get Free Consult.,credit-card,lawsuit-respond,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_CreditCard_NW,CC_Negotiation,Enabled,Responsive search ad,https://start.credolegal.com/credit-card-debt-negotiation,We Can Help You Talk To Them,You Can Pay Less Than You Owe,Card Debt Negotiation Lawyer,Attorney-Led Negotiation,Settle Card Debt for Less,Don't Negotiate Debt Alone,We Talk to Them. Not You.,Lower Your Card Debt Balance,Real Attorneys. Better Terms,Stop Paying More Than Owed,It's Harder To Negotiate Alone,Flexible Payment Plans,Free Negotiation Consultation,Free Debt Review,Get a Free Case Evaluation,Our attorneys negotiate your card debt so you don't have to. Better terms. Free Consult.,Card companies won't negotiate fairly. Our attorneys demand what you deserve. Free Consult,Thousands have settled credit card debt for less with attorney help. Get Free Evaluation.,Negotiate a lump sum and put credit card debt behind you. Real attorneys. Free Consult.,credit-card,debt-negotiate,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
S_Garnishment_NW,Garnishment,Enabled,Responsive search ad,https://start.credolegal.com/wage-garnishment-prevention,Threatened With Garnishment?,We Can Help With Garnishment,Fight Wage Garnishment Now,Don't Wait for Paycheck Cut,We Act Before They Garnish,Protect Your Paycheck Now,Real Attorneys Act Fast,Legal Options Still Open,Don't Let Them Take 25%,Attorney Help Starts Today,Garnishment Is Preventable,Flexible Payment Plans,Call Now. Free Consultation.,Free Garnishment Case Review,Get a Free Case Evaluation,Facing garnishment threats? Still time to act. Our attorneys file fast. Get Free Consult.,Real attorneys work to stop garnishment before it hits your paycheck. Get Free Consult.,Thousands stopped garnishments before they started. Don't wait. Get Free Consultation.,Garnishment can take 25% of your paycheck. We fight to keep your money. Get Free Consult.,garnishment,prevention,utm_source=google&utm_medium=cpc&utm_campaign=credo_search
