ad,file,kind,ratio
A1_prove-it,creatives/static/S1_prove-it_1x1.jpg,static,1x1
A1_prove-it,creatives/static/S1_prove-it_1_91x1.jpg,static,91x1
A1_prove-it,creatives/video/V1_prove-it_9x16.mp4,video,9x16
A1_prove-it,creatives/video/V1_prove-it_4x5.mp4,video,4x5
A2_is-it-yours,creatives/static/S2_notes_1x1.jpg,static,1x1
A2_is-it-yours,creatives/static/S2_notes_1_91x1.jpg,static,91x1
A2_is-it-yours,creatives/video/V2_is-it-yours_9x16.mp4,video,9x16
A2_is-it-yours,creatives/video/V2_is-it-yours_4x5.mp4,video,4x5
A3_three-things,creatives/static/S4_quiz_1x1.jpg,static,1x1
A3_three-things,creatives/static/S4_quiz_1_91x1.jpg,static,91x1
A3_three-things,creatives/video/V3_do-they-own-it_9x16.mp4,video,9x16
A3_three-things,creatives/video/V3_do-they-own-it_4x5.mp4,video,4x5
A4_before-after,creatives/static/S3_before-after_1x1.jpg,static,1x1
A4_before-after,creatives/static/S3_before-after_1_91x1.jpg,static,91x1
A4_before-after,creatives/video/V6_the-calls_9x16.mp4,video,9x16
A4_before-after,creatives/video/V6_the-calls_4x5.mp4,video,4x5
A5_medical,creatives/static/S5_medical_1x1.jpg,static,1x1
A5_medical,creatives/static/S5_medical_1_91x1.jpg,static,91x1
A5_medical,creatives/video/V5_medical_9x16.mp4,video,9x16
A5_medical,creatives/video/V5_medical_4x5.mp4,video,4x5
A6_in-writing,creatives/static/S6_in-writing_1x1.jpg,static,1x1
A6_in-writing,creatives/static/S6_in-writing_1_91x1.jpg,static,91x1
A6_in-writing,creatives/video/V4_in-writing_9x16.mp4,video,9x16
A6_in-writing,creatives/video/V4_in-writing_4x5.mp4,video,4x5
