ad_set,ad,version,ratio,placement,status,file,url
AS_A1_prove-it,A1_prove-it-v3,Designer set 1,16:9,—,not used by Meta,S1_prove-it_v3_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S1_prove-it_v3_16x9.jpg
AS_A1_prove-it,A1_prove-it-v3,Designer set 1,1:1,"Right column, Search, Marketplace",upload,S1_prove-it_v3_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S1_prove-it_v3_1x1.jpg
AS_A1_prove-it,A1_prove-it-v3,Designer set 1,4:5,Feeds + Stories/Reels (default),upload,S1_prove-it_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S1_prove-it_v3_4x5.jpg
AS_A1_prove-it,A1_prove-it-v3,Designer set 1,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S1_prove-it_v3_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S1_prove-it_v3_9x16.jpg
AS_A1_prove-it,A1_prove-it-light,Light style,16:9,—,not used by Meta,S1_prove-it_light_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S1_prove-it_light_16x9.jpg
AS_A1_prove-it,A1_prove-it-light,Light style,1:1,"Right column, Search, Marketplace",upload,S1_prove-it_light_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S1_prove-it_light_1x1.jpg
AS_A1_prove-it,A1_prove-it-light,Light style,4:5,Feeds + Stories/Reels (default),upload,S1_prove-it_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S1_prove-it_light_4x5.jpg
AS_A1_prove-it,A1_prove-it-light,Light style,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S1_prove-it_light_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S1_prove-it_light_9x16.jpg
AS_A1_prove-it,A1_prove-it-v4,Designer set 2,16:9,—,not used by Meta,S1_prove-it_v4_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S1_prove-it_v4_16x9.jpg
AS_A1_prove-it,A1_prove-it-v4,Designer set 2,1:1,"Right column, Search, Marketplace",upload,S1_prove-it_v4_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S1_prove-it_v4_1x1.jpg
