ad_set,ad,direction,ratio,path
Credit Card,CC_Lawsuit,illustration,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D1_Illustration_1x1.png
Credit Card,CC_Lawsuit,illustration,4x5,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D1_Illustration_4x5.jpeg
Credit Card,CC_Lawsuit,illustration,9x16,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D1_Illustration_9x16.png
Credit Card,CC_Lawsuit,illustration,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D1_Illustration_1_91x1.png
Credit Card,CC_Lawsuit,photo,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D2_Photo_1x1.png
Credit Card,CC_Lawsuit,photo,4x5,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D2_Photo_4x5.jpeg
Credit Card,CC_Lawsuit,photo,9x16,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D2_Photo_9x16.png
Credit Card,CC_Lawsuit,photo,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D2_Photo_1_91x1.png
Credit Card,CC_Lawsuit,stilllife,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D3_StillLife_1x1.png
Credit Card,CC_Lawsuit,stilllife,4x5,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D3_StillLife_4x5.jpeg
Credit Card,CC_Lawsuit,stilllife,9x16,https://2-human.github.io/credo-public-meta-ads-preview/assets/credit-card/v3-pilot/CC_Lawsuit_D3_StillLife_9x16.png
